AGE_GROUP,VETSTAT,DISABILITY_SIMPLE,AVG_INCWAGE
18-29,1,0%,24403.125
18-29,1,1-60%,32937.08609271523
18-29,1,70%+,26743.714285714283
18-29,1,N/A,15131.72206475624
18-29,1,No rating,25093.576492345608
18-29,1,Not reported,29046.428571428572
18-29,2,0%,23734.19889502762
18-29,2,1-60%,24872.66073194862
18-29,2,70%+,15122.770562770578
18-29,2,No rating,23852.14261315095
18-29,2,Not reported,18855.622489959846
30-39,1,0%,50528.571428571435
30-39,1,1-60%,47538.188976377955
30-39,1,70%+,35957.14285714286
30-39,1,N/A,36459.19843423762
30-39,1,No rating,49698.70335230878
30-39,1,Not reported,33452.692307692305
30-39,2,0%,47402.55494505496
30-39,2,1-60%,43364.739923440524
30-39,2,70%+,22904.085297418664
30-39,2,No rating,43410.20986816549
30-39,2,Not reported,35960.056818181816
40-49,1,0%,53742.10526315789
40-49,1,1-60%,53108.93617021277
40-49,1,70%+,27074.39024390244
40-49,1,N/A,42992.353486423104
40-49,1,No rating,57009.98528174875
40-49,1,Not reported,28852.941176470587
40-49,2,0%,56163.21070234116
40-49,2,1-60%,52307.38286264453
40-49,2,70%+,30999.406875708515
40-49,2,No rating,51672.242013868505
40-49,2,Not reported,46185.61999999997
50-59,1,0%,38872.34042553192
50-59,1,1-60%,41603.16964285714
50-59,1,70%+,19700
50-59,1,N/A,40028.21166528106
50-59,1,No rating,44737.59692372569
50-59,1,Not reported,46357.57575757576
50-59,2,0%,45082.949352179014
50-59,2,1-60%,47096.712432432076
50-59,2,70%+,24129.715083799154
50-59,2,No rating,43995.47784776794
50-59,2,Not reported,27095.032425421537
60-69,1,0%,21481.03448275862
60-69,1,1-60%,19787.867647058825
60-69,1,70%+,4321.2598425196875
60-69,1,N/A,21812.70075216264
60-69,1,No rating,28361.629234396514
60-69,1,Not reported,15523.333333333332
60-69,2,0%,18543.271923360353
60-69,2,1-60%,19730.05078999558
60-69,2,70%+,5207.58769562869
60-69,2,No rating,24229.037758579605
60-69,2,Not reported,13620.878122634365
70+,1,0%,8611.764705882355
70+,1,1-60%,3601.8548387096807
70+,1,70%+,1166.6666666666667
70+,1,N/A,3018.0454585727202
70+,1,No rating,8331.039919004734
70+,1,Not reported,2988.888888888888
70+,2,0%,3726.355013550152
70+,2,1-60%,3749.7953964195785
70+,2,70%+,1597.4162427644114
70+,2,No rating,4722.694591503993
70+,2,Not reported,2580.1253561253166
NA,0,N/A,934245.7792922076
NA,1,N/A,1116.4445280816865
NA,1,No rating,3171.1650485436908
NA,2,0%,300
NA,2,1-60%,0
NA,2,70%+,20000
NA,2,No rating,1616.6666666666667
NA,2,Not reported,0
